185979,444747,754363,1113779,1519911,1931440,2300137,2604552,2845306,3033227,3180040,3306508,3396266,3468357,3527318,3576149,3616675,3650896,3679997,3704823,3728622
181801,433247,736789,1088279,1483729,1882701,2240049,2534860,2767383,2949048,3090751,3213153,3299593,3369398,3426296,3473289,3512261,3545446,3573649,3597587,3620403
180379,429191,726877,1068051,1449423,1833015,2175498,2457086,2679781,2853043,2988341,3105025,3187551,3253980,3308411,3353028,3390502,3421948,3448622,3471560,3493462
181617,439869,758985,1131033,1547501,1966080,2338764,2645628,2887783,3076178,3223147,3350154,3439880,3511986,3571140,3619844,3660298,3694689,3723615,3748595,3772281
181853,441641,762619,1137533,1558773,1981547,2358452,2668412,2913273,3103929,3252605,3380767,3471543,3544565,3604128,3653121,3694454,3728678,3758386,3783354,3807378
181243,441129,761773,1136157,1555753,1976653,2351775,2660056,2903661,3093280,3240963,3368266,3458440,3531078,3590473,3639138,3680000,3714134,3743524,3768457,3792238
180015,436483,753157,1123615,1540584,1960562,2335453,2643969,2887857,3077774,3225801,3353551,3443820,3516886,3576158,3625390,3666124,3700625,3729871,3754875,3778861
177877,424663,725027,1074661,1468254,1864995,2219786,2512041,2742834,2922559,3062785,3183963,3269531,3338174,3394632,3441252,3480026,3512745,3540345,3564062,3586947
177667,422121,717437,1062917,1455026,1852623,2209646,2504392,2737278,2919334,3061092,3183930,3270504,3340583,3397562,3444727,3484119,3517002,3545519,3569456,3592382
177209,419369,711073,1053017,1442489,1838567,2194264,2488311,2721028,2902572,3044305,3166623,3253451,3323280,3380435,3427346,3466632,3499871,3528045,3552160,3574985
174485,411989,696099,1026475,1400549,1779879,2120059,2400671,2622619,2796008,2931258,3047854,3130291,3196846,3251055,3296171,3333745,3364850,3392061,3414751,3436677
175559,419137,713657,1057449,1447259,1842256,2196479,2488652,2719731,2900046,3040502,3162125,3247939,3317335,3373978,3420336,3459552,3492076,3520124,3543878,3566458
174267,418577,717203,1065997,1460679,1859642,2216917,2511484,2744454,2926161,3067695,3189895,3276471,3346226,3403053,3450052,3489084,3522254,3550168,3574180,3596917
173097,419519,723171,1078509,1479334,1883390,2244852,2542436,2777553,2960927,3103643,3226846,3313822,3384104,3441471,3488810,3527992,3561300,3589717,3613665,3636823
172967,423037,730997,1090241,1494753,1902004,2265574,2564605,2800755,2984880,3128204,3251874,3338891,3409822,3467259,3514725,3554125,3587491,3615945,3640116,3663317
173365,427075,741885,1109961,1523548,1938993,2309397,2613815,2854049,3041019,3186771,3312446,3401256,3472740,3531206,3579199,3619539,3653472,3682150,3706837,3730199
171283,422255,732471,1093675,1498395,1904680,2266852,2564475,2799150,2981879,3124295,3247173,3333893,3403690,3460877,3507874,3547110,3580274,3608206,3632302,3655192
171105,426921,746719,1118547,1531925,1943921,2309454,2608327,2843774,3026548,3169015,3291655,3378165,3448105,3504801,3551317,3590592,3623420,3651598,3675332,3698314
170341,423483,738391,1103929,1511377,1918356,2279532,2575357,2808513,2990064,3130927,3252548,3338402,3407546,3463946,3510781,3549324,3582121,3609930,3633677,3656033
173121,434513,762955,1147349,1577373,2007639,2389912,2703654,2951087,3143035,3292799,3421843,3513014,3586469,3646199,3695513,3736679,3771239,3800795,3826108,3850092
171505,427131,743105,1107913,1511875,1913749,2269714,2561186,2790585,2968663,3107153,3226359,3310624,3378513,3434052,3479834,3517556,3549646,3576878,3600084,3622066
173007,434369,763155,1147303,1575715,2003206,2382779,2693997,2938644,3128855,3276953,3404291,3494608,3567298,3626365,3674978,3715993,3750237,3779023,3804389,3827953
173167,436951,769253,1158209,1592107,2025410,2409986,2725067,2973394,3166136,3316349,3445574,3537009,3610503,3670597,3719885,3761124,3796010,3825374,3850884,3874852
172819,435113,765089,1149579,1576816,2002421,2379128,2687640,2930184,3118399,3265033,3391287,3480199,3551847,3610318,3658648,3698986,3732590,3761421,3786039,3809324
173359,438927,774971,1168911,1606966,2042540,2428357,2743497,2991445,3183848,3333576,3462728,3553589,3626864,3686548,3736092,3777047,3811769,3840797,3866099,3889983
173357,438859,776569,1173155,1614127,2052605,2440467,2757068,3006094,3199365,3349458,3479109,3570345,3643813,3703847,3753207,3794405,3829131,3858645,3883761,3907957
172485,435597,766123,1149725,1572925,1991547,2360780,2661842,2898192,3081616,3223884,3346584,3432696,3502522,3559036,3605820,3644930,3677666,3705577,3729381,3751920
175291,445067,786569,1186369,1630569,2072595,2464027,2783899,3035313,3230527,3382343,3513135,3605630,3679899,3740315,3790355,3832077,3867047,3896753,3922267,3946470
174689,445145,789185,1192685,1642311,2090195,2486358,2811115,3066112,3264264,3418484,3551066,3645051,3720392,3781745,3832629,3874993,3910539,3940865,3966855,3991222
174593,443203,780853,1173605,1608535,2040336,2422533,2734698,2980519,3170855,3319163,3446622,3536646,3609068,3668449,3717099,3757557,3791987,3821025,3845713,3869320
172883,436473,763165,1138299,1549791,1956184,2314482,2606304,2835461,3013069,3151323,3270137,3353896,3421324,3476518,3521444,3559405,3591457,3618099,3641240,3663138
