,10-microns particles-60X,30 microns-beads-60X-measuring 2,Several 10-micron-particles together,Four-mixing particles together
0,0.005884373955227271,0.04230518616924738,0.0035158750501987513,0.0017417009179344113
1,0.01577406532488359,0.006657551341442955,0.0,0.00045401437101025115
2,0.018836859580209447,0.011410949330869238,0.0016943590317132834,0.0
3,0.02284943968647654,0.028507096474835535,0.0018493280257821428,0.0035756981750374554
4,0.04283171112525845,0.043019051671877286,0.0061134976656925105,0.006320163127688747
5,0.02042615085989937,0.07063217704965324,0.021414947502628755,0.010496043007263417
6,0.0044942401743774535,0.07171351358751588,0.05715865886648867,0.012464244422266702
7,0.0,0.05381310314576324,0.07091345458310379,0.019825462174430722
8,0.01292055113755753,0.030582142124894844,0.1442138979782003,0.03453676381970284
9,0.04668989642680983,0.04134246209382745,0.3179715948765606,0.07026104638950888
10,0.11206277533943429,0.03911022245927843,0.41546643916227843,0.06339662878207343
11,0.10619699214480435,0.014941194617444843,0.429619607088253,0.0519814175456611
12,0.23088160485164197,0.0,0.5053926261225636,0.09235840257659346
13,0.27662330843345595,0.04627437541935248,0.5721375863914101,0.160795606062987
14,0.60958103500135,0.03790523661333551,0.7429689497507712,0.19423350124094854
15,0.4800867961960613,0.16301928167395616,0.6876139226410592,0.23645764449084555
16,0.838955298361747,0.24495013697945175,0.8808713758218533,0.3867895710279575
17,0.8099053634998307,0.45014740649364676,0.5115289738553844,0.6908176612461034
